Structure Number,M&S Plate,Voltage (kV),Summer Capacity Range (MW),x,y
V136,42P,460v,>1000 kVA,991002.7299209237,188649.17983809114
V1365,9H,460v,500 kVA to 1000 kVA,985043.1401340961,153873.0600860119
V1488,45N,460v,>1000 kVA,987583.6399743408,191814.87002900243
V1880,44O,460v,>1000 kVA,989033.1400280893,191313.14006133378
V1983,33H,460v,>1000 kVA,980873.2800355107,177911.3601064235
V2000,39I,460v,>1000 kVA,980926.2100477517,184132.3899871707
V2124,7N,460v,>1000 kVA,993815.6599905938,152816.94999350607
V2142,39N,460v,>1000 kVA,987800.9098810107,185797.23016142845
V2304,41N,460v,>1000 kVA,987838.7100022584,187710.22994433343
V2409,26G,460v,500 kVA to 1000 kVA,980487.9701105952,170487.60986208916
V2506,9H,460v,500 kVA to 1000 kVA,985111.3401289284,153918.53013941646
V2816,49N,460v,>1000 kVA,986647.2701279223,195664.07985025644
V2825,46N,460v,>1000 kVA,987151.7901162505,192190.36993417144
V2830,46N,460v,500 kVA to 1000 kVA,987149.5201076716,192170.45986901224
V2841,46N,460v,>1000 kVA,987148.8800170869,192153.89002025127
V3000,26G,460v,500 kVA to 1000 kVA,980506.5901520848,170472.93994392455
V3026,39I,460v,>1000 kVA,980942.8599488437,184118.64001467824
V3320,49N,460v,>1000 kVA,986645.4899477512,195623.45985275507
V3425,46M,460v,>1000 kVA,986672.6998670846,192186.4299814254
V3512,46M,460v,>1000 kVA,986658.1598699242,192200.5999005884
V353,7N,460v,>1000 kVA,993909.7700385898,152820.90011684597
V3586,46N,460v,>1000 kVA,987602.5300284177,192579.1499965042
V3602,46M,460v,>1000 kVA,986638.5798565894,192206.86005866528
V3789,41N,460v,>1000 kVA,987815.3199571669,187722.62001141906
V4072,46N,460v,>1000 kVA,987675.8701048344,192574.6099793464
V4239,45N,460v,>1000 kVA,987586.6301258355,191863.88010159135
V4292,46N,460v,>1000 kVA,987194.6000699997,192563.67004059255
V4313,46N,460v,>1000 kVA,987227.9500689209,192562.4800823331
V4567,41P,460v,>1000 kVA,991145.1600822508,187723.99992991984
V4785,29AA,460v,>1000 kVA,1008312.4000259191,178172.33005692065
V4827,29AA,460v,>1000 kVA,1008279.6300783455,178208.20006392896
V4830,29AA,460v,>1000 kVA,1008328.3399546742,178154.430158332
V488,26G,460v,500 kVA to 1000 kVA,980457.8100659251,170510.84013058245
V4910,29AA,460v,>1000 kVA,1008295.3698762506,178190.06000833213
V4964,54U,460v,>1000 kVA,995504.1398813426,202083.56012150645
V5028,54U,460v,500 kVA to 1000 kVA,995521.6001482606,202068.31015200913
V5049,35J,460v,500 kVA to 1000 kVA,983501.5198577642,180460.7598632574
V5086,49P,460v,500 kVA to 1000 kVA,989293.1099805832,196148.80985192955
V5137,54U,460v,>1000 kVA,995543.5400650054,202051.40992334485
V5272,49W,460v,>1000 kVA,998735.1898496747,197188.95016008615
V5355,44O,460v,500 kVA to 1000 kVA,988951.0299560875,190994.2099249214
V5364,44O,460v,500 kVA to 1000 kVA,988964.920020178,191011.70004741848
V5378,44O,460v,500 kVA to 1000 kVA,988978.1798361689,191033.53989875317
V5382,44O,460v,500 kVA to 1000 kVA,988989.9898519218,191051.9499669224
V5385,49W,460v,>1000 kVA,998768.0998888463,197193.6699669212
V5399,30U,460v,>1000 kVA,999590.829870671,177851.20996426046
V5426,43O,460v,>1000 kVA,989551.7600538433,189972.81990733743
V5437,35J,460v,500 kVA to 1000 kVA,983532.8101495057,180436.08012259007
V5438,30U,460v,>1000 kVA,999615.9200435877,177852.02984450758
V5439,46W,460v,>1000 kVA,1000095.4899505973,194353.07984758914
V5460,49W,460v,>1000 kVA,998788.1700586677,197196.4501450956
