Circuit,Substation,Circuit Voltage (kV),Updated Date,Summer Load Capacity,Peak Load,Substation/Bank Rating (MW),NOTES
ORIENT_17W41,HARRISON,13,3/30/2026,1.85309,202,262,NONE
9U3,GRANITE HILL,4,3/30/2026,0.729996962,214,248,NONE
MACQUE_9W69,WASHINGTON STREET,13,3/30/2026,1.34546,202,264,NONE
18U2,HARRISON,4,3/30/2026,0.118397248,202,262,NONE
GRYSTNE_15W06,GRANITE HILL,13,3/30/2026,0,214,248,NONE
44U2,GRANITE HILL,4,3/30/2026,0.154751997,214,248,NONE
5302,WASHINGTON STREET,4,3/30/2026,0.209278886,202,264,Contact company for LSRV information
98U3,WHITE PLAINS,4,3/30/2026,0.341371564,218,262,NONE
TIBBIT_8W64,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
WHITE_8W94,WHITE PLAINS,13,3/30/2026,1.37352,218,262,NONE
91U1,WASHINGTON STREET,4,3/30/2026,0.138052945,202,264,NONE
MACQUE_9W65,WASHINGTON STREET,13,3/30/2026,4.24439,202,264,NONE
TIBBIT_8W85,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
FURNDK_13W89,BUCHANAN,13,3/30/2026,2.81458,116,175,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
7U2,ELMSFORD NO.2,4,3/30/2026,0,157,255,NONE
5204,PARKCHESTER NO.2,4,3/30/2026,0.146566178,104,196,Contact company for LSRV information
64U2,BUCHANAN,4,3/30/2026,0,116,175,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5361,WASHINGTON STREET,4,3/30/2026,0.129639519,202,264,Contact company for LSRV information
CROTON_13W72,BUCHANAN,13,3/30/2026,3.00597,116,175,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
GRASSL_12W83,ELMSFORD NO.2,13,3/30/2026,6.3497,157,255,NONE
TIBBIT_8W85,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
TIBBIT_8W64,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
7291,PARKCHESTER NO.1,4,3/30/2026,0.298466337,205,240,NONE
39U1,WHITE PLAINS,4,3/30/2026,0.593687327,218,262,NONE
39U1,WHITE PLAINS,4,3/30/2026,0.593687327,218,262,NONE
5204,PARKCHESTER NO.2,4,3/30/2026,0.146566178,104,196,Contact company for LSRV information
OSSING_6W67,OSSINING WEST,13,3/30/2026,1.12041,65,131,NONE
5204,PARKCHESTER NO.2,4,3/30/2026,0.146566178,104,196,Contact company for LSRV information
91U5,WASHINGTON STREET,4,3/30/2026,0,202,264,RADIAL
7471,PARKCHESTER NO.1,4,3/30/2026,0.058027739,205,240,NONE
OSSING_6W67,OSSINING WEST,13,3/30/2026,1.12041,65,131,NONE
ORCHRD_14W10,PLEASANTVILLE,13,3/30/2026,0.07416,76,131,NONE
3U1,ELMSFORD NO.2,4,3/30/2026,0.487375765,157,255,NONE
TIBBIT_8W85,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
TIBBIT_8W64,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
1U3,ELMSFORD NO.2,4,3/30/2026,0.49600369,157,255,NONE
DAVNPT_20W63,CEDAR STREET,13,3/30/2026,3.62518,103,196,NONE
BONWIT_17W43,HARRISON,13,3/30/2026,0.19139,202,262,NONE
33U4,WASHINGTON STREET,4,3/30/2026,0.59368496,202,264,NONE
HARRISN_17W40,HARRISON,13,3/30/2026,0.25709,202,262,NONE
7571,PARKCHESTER NO.1,4,3/30/2026,0.796651915,205,240,NONE
7691,PARKCHESTER NO.1,4,3/30/2026,0.571789047,205,240,NONE
7U2,ELMSFORD NO.2,4,3/30/2026,0,157,255,NONE
TIBBIT_8W64,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
83U2,CEDAR STREET,4,3/30/2026,0.387679433,103,196,NONE
TIBBIT_8W64,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
W_LACONIA_5X61,PARKCHESTER NO.2,13,3/30/2026,3.49008,104,196,NONE
8U1,BUCHANAN,4,3/30/2026,0.662876864,116,175,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
TUCKHO_2W12,ROCKVIEW,13,3/30/2026,0.75374,96,195,NONE
W_FARMS_5X63,PARKCHESTER NO.2,13,3/30/2026,4.4595,104,196,NONE
GRIFFN_17W54,HARRISON,13,3/30/2026,5.16647,202,262,NONE
1U3,ELMSFORD NO.2,4,3/30/2026,0.49600369,157,255,NONE
1U3,ELMSFORD NO.2,4,3/30/2026,0.49600369,157,255,NONE
LAKEST_19W09,GRASSLANDS,13,3/30/2026,1.29471,102,195,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
83U2,CEDAR STREET,4,3/30/2026,0.387679433,103,196,NONE
W_LACONIA_5X61,PARKCHESTER NO.2,13,3/30/2026,3.49008,104,196,NONE
DAVNPT_20W63,CEDAR STREET,13,3/30/2026,3.62518,103,196,NONE
TIBBIT_8W85,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
ORIENT_17W41,HARRISON,13,3/30/2026,1.85309,202,262,NONE
OSSING_6W67,OSSINING WEST,13,3/30/2026,1.12041,65,131,NONE
TIBBIT_8W64,WHITE PLAINS,13,3/30/2026,0,218,262,NONE
W_LACONIA_5X61,PARKCHESTER NO.2,13,3/30/2026,3.49008,104,196,NONE
ELMSFD_19W03,GRASSLANDS,13,3/30/2026,2.71326,102,195,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
83U2,CEDAR STREET,4,3/30/2026,0.387679433,103,196,NONE
7471,PARKCHESTER NO.1,4,3/30/2026,0.058027739,205,240,NONE
